,Date,Visit,Home,V_Odd,H_Odd,OU,Score
151,21/11/08,ATL,GS,140,-160,222.0,113-127
152,21/11/08,PHO,SAC,-155,135,224.0,109-104
153,21/11/08,CHA,LAL,115,-135,225.5,123-126
154,21/11/09,MIL,PHI,-280,240,215.0,118-109
155,21/11/09,ATL,UTA,300,-360,223.0,98-110
156,21/11/09,POR,LAC,125,-145,220.0,109-117
157,21/11/10,WAS,CLE,-160,140,208.5,97-94
158,21/11/10,BKN,ORL,-500,400,211.0,123-90
159,21/11/10,TOR,BOS,145,-165,206.0,88-104
160,21/11/10,MIL,NY,140,-160,216.0,112-100
161,21/11/10,DET,HOU,120,-140,211.5,112-104
162,21/11/10,CHA,MEM,170,-190,228.0,118-108
163,21/11/10,OKC,NO,160,-180,208.5,108-100
164,21/11/10,DAL,CHI,145,-165,215.0,107-117
165,21/11/10,SAC,SA,-105,-115,222.5,117-136
166,21/11/10,POR,PHO,180,-210,225.0,109-119
167,21/11/10,IND,DEN,-150,130,205.0,98-101
168,21/11/10,MIN,GS,265,-320,222.5,110-123
169,21/11/10,MIA,LAL,-220,190,215.0,117-120
170,21/11/11,TOR,PHI,155,-175,212.0,115-109
171,21/11/11,IND,UTA,425,-550,215.0,111-100
172,21/11/11,MIA,LAC,190,-220,211.5,109-112
173,21/11/12,NY,CHA,-135,115,225.0,96-104
174,21/11/12,DET,CLE,165,-185,200.0,78-98
175,21/11/12,MIL,BOS,175,-200,209.0,113-122
176,21/11/12,POR,HOU,-300,250,222.5,104-92
177,21/11/12,BKN,NO,-430,360,214.5,120-112
178,21/11/12,PHO,MEM,-135,115,222.5,119-94
179,21/11/12,SAC,OKC,-200,175,218.5,103-105
180,21/11/12,DAL,SA,-145,125,220.0,123-109
181,21/11/12,ATL,DEN,140,-160,214.5,96-105
182,21/11/12,CHI,GS,190,-220,222.0,93-119
183,21/11/12,MIN,LAL,105,-125,223.5,107-83
184,21/11/13,MIA,UTA,290,-350,212.0,111-105
185,21/11/13,WAS,ORL,-210,180,203.0,104-92
186,21/11/13,PHI,IND,160,-180,214.0,113-118
187,21/11/13,MEM,NO,-160,140,218.5,101-112
188,21/11/13,DET,TOR,280,-340,203.0,127-121
189,21/11/13,BOS,CLE,115,-135,202.0,89-91
190,21/11/13,MIN,LAC,235,-275,221.0,102-129
191,21/11/14,SA,LAL,120,-140,219.5,106-114
192,21/11/14,MIL,ATL,110,-130,224.0,100-120
193,21/11/14,GS,CHA,-210,180,227.5,102-106
194,21/11/14,PHO,HOU,-380,320,221.5,115-89
195,21/11/14,BKN,OKC,-400,330,215.5,120-96
196,21/11/14,POR,DEN,210,-250,208.0,95-124
197,21/11/14,CHI,LAC,145,-165,219.0,100-90
198,21/11/15,NO,WAS,150,-170,208.5,100-105
199,21/11/15,BOS,CLE,-170,150,199.0,98-92
200,21/11/15,SAC,DET,-180,160,214.0,129-107
201,21/11/15,IND,NY,130,-150,211.0,84-92
202,21/11/15,ORL,ATL,450,-600,215.0,111-129
203,21/11/15,HOU,MEM,525,-750,219.0,102-136
204,21/11/15,DEN,DAL,180,-210,209.0,101-111
205,21/11/15,PHO,MIN,-170,150,222.0,99-96
206,21/11/15,MIA,OKC,-265,225,207.0,103-90
207,21/11/15,TOR,POR,130,-150,216.5,113-118
208,21/11/15,CHI,LAL,-125,105,216.0,121-103
209,21/11/16,GS,BKN,125,-145,223.5,117-99
210,21/11/16,PHI,UTA,450,-600,216.5,85-120
211,21/11/16,SA,LAC,250,-300,221.5,92-106
212,21/11/17,IND,DET,-265,225,206.0,89-97
213,21/11/17,WAS,CHA,100,-120,220.5,87-97
214,21/11/17,NO,MIA,235,-275,210.5,98-113
215,21/11/17,ORL,NY,525,-750,207.0,104-98
216,21/11/17,CLE,BKN,450,-600,206.5,99-109
217,21/11/17,BOS,ATL,175,-200,216.5,99-110
218,21/11/17,LAL,MIL,350,-420,223.0,102-109
219,21/11/17,HOU,OKC,130,-150,214.5,89-101
220,21/11/17,SAC,MIN,125,-145,228.0,97-107
221,21/11/17,DAL,PHO,300,-360,212.0,98-105
222,21/11/17,CHI,POR,140,-160,221.5,107-112
223,21/11/18,WAS,MIA,225,-265,206.5,97-112
224,21/11/18,GS,CLE,-500,400,208.5,104-89
225,21/11/18,SA,MIN,110,-130,220.0,90-115
226,21/11/18,LAC,MEM,-110,-110,220.5,108-120
227,21/11/18,PHI,DEN,265,-320,209.0,103-89
